id     subscription_startsubscription_endsegment
1562016-12-09   NULL         30
1572016-12-09   2017-02-25   30
1582016-12-09   NULL         30
1592016-12-09   NULL         30
1602016-12-09   2017-03-27   30
1612016-12-09   NULL         30
1622016-12-09   NULL         30
1632016-12-09   NULL         30
1642016-12-09   NULL         30
1652016-12-09   NULL         30
1662016-12-09   NULL         30
1672016-12-09   2017-01-19   30
1682016-12-09   2017-01-13   30
1692016-12-10   2017-01-20   87
1702016-12-10   2017-03-16   87
1712016-12-10   2017-03-17   87
1722016-12-10   2017-01-26   87
1732016-12-10   2017-01-18   87
1742016-12-10   2017-01-15   87
1752016-12-10   2017-01-25   87
1762016-12-10   2017-01-14   87
1772016-12-10   2017-01-11   87
1782016-12-10   2017-03-10   87
1792016-12-10   2017-01-28   30
1802016-12-10   NULL         30
1812016-12-10   2017-02-20   30
1822016-12-10   NULL         30
1832016-12-10   NULL         30
1842016-12-10   NULL         30
1852016-12-10   NULL         30
1862016-12-10   NULL         30
1872016-12-10   NULL         30
1882016-12-10   NULL         30
1892016-12-10   NULL         30
1902016-12-11   2017-02-17   87
1912016-12-11   2017-02-03   87
1922016-12-11   2017-03-04   87
1932016-12-11   2017-02-04   87
1942016-12-11   2017-01-25   87
1952016-12-11   2017-03-19   87
1962016-12-11   2017-02-02   87
1972016-12-11   2017-03-11   87
1982016-12-11   2017-01-31   87
1992016-12-11   2017-01-21   87
2002016-12-11   2017-03-06   87
2012016-12-11   NULL         30
2022016-12-11   2017-03-20   30
2032016-12-11   NULL         30
2042016-12-11   NULL         30
2052016-12-12   2017-02-01   87
2062016-12-12   2017-01-19   87
2072016-12-12   2017-02-16   87
2082016-12-12   2017-02-25   87
2092016-12-12   2017-03-08   87
2102016-12-12   2017-03-04   87
2112016-12-12   2017-02-27   87
2122016-12-12   NULL         30
2132016-12-12   NULL         30
2142016-12-12   NULL         30
2152016-12-12   NULL         30
2162016-12-12   NULL         30
2172016-12-12   NULL         30
2182016-12-12   NULL         30
2192016-12-12   2017-01-29   30
2202016-12-12   NULL         30
2212016-12-13   2017-02-03   87
2222016-12-13   2017-01-19   87
2232016-12-13   2017-02-22   87
2242016-12-13   2017-03-17   87
2252016-12-13   2017-02-22   87
2262016-12-13   2017-03-21   87
2272016-12-13   2017-01-24   87
2282016-12-13   2017-01-30   87
2292016-12-13   NULL         30
2302016-12-13   2017-02-27   30
2312016-12-13   2017-01-17   30
2322016-12-13   2017-01-30   30
2332016-12-13   NULL         30
2342016-12-13   NULL         30
2352016-12-13   2017-02-17   30
2362016-12-13   NULL         30
2372016-12-13   NULL         30
2382016-12-13   NULL         30
2392016-12-13   NULL         30
2402016-12-13   2017-01-21   30
2412016-12-14   2017-02-13   87
2422016-12-14   2017-02-22   87
2432016-12-14   2017-02-17   87
2442016-12-14   2017-03-24   87
2452016-12-14   2017-03-19   87
2462016-12-14   NULL         30
2472016-12-14   NULL         30
2482016-12-14   NULL         30
2492016-12-14   NULL         30
2502016-12-14   NULL         30
2512016-12-14   NULL         30
2522016-12-15   2017-03-23   87
2532016-12-15   2017-01-17   87
2542016-12-15   2017-01-31   87
2552016-12-15   2017-02-22   87
2562016-12-15   2017-02-05   87
2572016-12-15   2017-01-19   87
2582016-12-15   2017-03-07   87
2592016-12-15   2017-01-23   87
2602016-12-15   2017-01-23   87
2612016-12-15   2017-03-20   87
2622016-12-15   2017-03-03   87
2632016-12-15   NULL         30
2642016-12-15   2017-02-11   30
2652016-12-15   2017-03-04   30
2662016-12-15   NULL         30
2672016-12-15   2017-03-04   30
2682016-12-15   NULL         30
2692016-12-15   NULL         30
2702016-12-15   NULL         30
2712016-12-16   2017-03-23   87
2722016-12-16   2017-03-17   87
2732016-12-16   2017-01-28   87
2742016-12-16   2017-03-23   87
2752016-12-16   2017-01-19   87
2762016-12-16   2017-01-20   87
2772016-12-16   2017-03-06   87
2782016-12-16   2017-02-10   87
2792016-12-16   2017-03-20   87
2802016-12-16   2017-02-28   87
2812016-12-16   NULL         30
2822016-12-16   NULL         30
2832016-12-16   NULL         30
2842016-12-16   NULL         30
2852016-12-16   NULL         30
2862016-12-16   NULL         30
2872016-12-16   2017-02-10   30
2882016-12-16   NULL         30
2892016-12-16   2017-03-15   30
2902016-12-16   NULL         30
2912016-12-16   NULL         30
2922016-12-16   NULL         30
2932016-12-16   NULL         30
2942016-12-17   2017-03-17   87
2952016-12-17   2017-02-19   87
2962016-12-17   2017-03-05   87
2972016-12-17   2017-01-25   87
2982016-12-17   2017-02-22   87
2992016-12-17   2017-02-14   87
3002016-12-17   2017-01-25   87
3012016-12-17   NULL         30
3022016-12-17   NULL         30
3032016-12-17   NULL         30
3042016-12-17   NULL         30
3052016-12-17   NULL         30
3062016-12-17   NULL         30
3072016-12-17   NULL         30
3082016-12-17   NULL         30
3092016-12-17   2017-03-09   30
3102016-12-17   NULL         30
3112016-12-17   NULL         30
3122016-12-18   2017-01-26   87
3132016-12-18   2017-03-13   87
3142016-12-18   2017-02-08   87
3152016-12-18   2017-02-15   87
3162016-12-18   2017-02-26   87
3172016-12-18   2017-03-21   87
3182016-12-18   2017-02-18   87
3192016-12-18   2017-02-10   87
3202016-12-18   2017-03-23   87
3212016-12-18   2017-02-15   87
3222016-12-18   NULL         30
3232016-12-18   NULL         30
3242016-12-18   NULL         30
3252016-12-18   NULL         30
3262016-12-18   NULL         30
3272016-12-18   2017-01-21   30
3282016-12-18   NULL         30
3292016-12-18   NULL         30
3302016-12-18   2017-03-25   30
3312016-12-19   2017-02-05   87
3322016-12-19   2017-01-31   87
3332016-12-19   2017-01-30   87
3342016-12-19   2017-02-24   87
3352016-12-19   2017-02-15   87
3362016-12-19   2017-03-02   87
3372016-12-19   2017-01-20   87
3382016-12-19   2017-02-16   87
3392016-12-19   2017-02-08   87
3402016-12-19   2017-02-26   87
3412016-12-19   2017-03-24   87
3422016-12-19   2017-03-04   87
3432016-12-19   2017-03-15   87
3442016-12-19   2017-03-02   87
3452016-12-19   2017-03-20   30
3462016-12-19   2017-01-31   30
3472016-12-19   2017-02-22   30
3482016-12-19   2017-03-05   30
3492016-12-19   2017-03-25   30
3502016-12-20   2017-02-07   87

3512016-12-20   2017-02-14   87
3522016-12-20   2017-01-27   87
3532016-12-20   2017-03-25   87
3542016-12-20   2017-01-21   87
3552016-12-20   2017-01-20   87
3562016-12-20   NULL         30
3572016-12-20   2017-02-03   30
3582016-12-20   NULL         30
3592016-12-20   2017-03-15   30
3602016-12-20   2017-01-24   30
3612016-12-20   NULL         30
3622016-12-20   NULL         30
3632016-12-20   NULL         30
3642016-12-21   2017-02-02   87
3652016-12-21   2017-02-13   87
3662016-12-21   2017-02-18   87
3672016-12-21   2017-02-06   87
3682016-12-21   2017-02-23   87
3692016-12-21   2017-03-01   87
3702016-12-21   2017-03-02   87
3712016-12-21   2017-03-01   87
3722016-12-21   2017-03-26   87
3732016-12-21   2017-02-13   87
3742016-12-21   NULL         30
3752016-12-21   NULL         30
3762016-12-21   NULL         30
3772016-12-21   2017-02-19   30
3782016-12-21   2017-03-31   30
3792016-12-21   2017-02-25   30
3802016-12-21   NULL         30
3812016-12-21   2017-03-01   30
3822016-12-22   2017-02-08   87
3832016-12-22   2017-03-27   87
3842016-12-22   2017-02-23   87
3852016-12-22   2017-02-09   87
3862016-12-22   2017-03-03   87
3872016-12-22   2017-01-31   87
3882016-12-22   2017-01-24   87
3892016-12-22   2017-02-04   87
3902016-12-22   2017-03-12   87
3912016-12-22   2017-02-19   87
3922016-12-22   2017-03-18   87
3932016-12-22   2017-02-11   30
3942016-12-22   NULL         30
3952016-12-22   2017-03-09   30
3962016-12-22   NULL         30
3972016-12-22   NULL         30
3982016-12-22   NULL         30
3992016-12-22   NULL         30
4002016-12-22   2017-01-22   30
4012016-12-22   NULL         30
4022016-12-23   2017-02-07   87
4032016-12-23   2017-03-16   87
4042016-12-23   2017-03-08   87
4052016-12-23   2017-03-01   87
4062016-12-23   2017-02-16   87
4072016-12-23   2017-03-23   87
4082016-12-23   2017-02-21   87
4092016-12-23   2017-02-23   87
4102016-12-23   2017-02-07   87
4112016-12-23   2017-02-09   87
4122016-12-23   2017-01-24   87
4132016-12-23   NULL         30
4142016-12-23   NULL         30
4152016-12-23   NULL         30
4162016-12-23   NULL         30
4172016-12-23   NULL         30
4182016-12-23   NULL         30
4192016-12-23   NULL         30
4202016-12-23   2017-02-22   30

4212016-12-23   NULL         30
4222016-12-23   NULL         30
4232016-12-23   NULL         30
4242016-12-23   NULL         30
4252016-12-24   2017-01-28   87
4262016-12-24   2017-03-31   87
4272016-12-24   2017-03-09   87
4282016-12-24   2017-01-28   87
4292016-12-24   2017-03-31   87
4302016-12-24   2017-03-13   87
4312016-12-24   NULL         30
4322016-12-24   NULL         30
4332016-12-24   2017-03-20   30
4342016-12-24   NULL         30
4352016-12-24   NULL         30
4362016-12-24   2017-03-23   30
4372016-12-24   NULL         30
4382016-12-24   NULL         30
4392016-12-25   NULL         87
4402016-12-25   2017-03-23   87
4412016-12-25   2017-03-31   87
4422016-12-25   2017-02-27   87
4432016-12-25   2017-02-16   87
4442016-12-25   NULL         30
4452016-12-25   2017-02-10   30
4462016-12-25   2017-02-23   30
4472016-12-25   NULL         30
4482016-12-25   2017-03-07   30
4492016-12-26   2017-03-23   87
4502016-12-26   2017-03-26   87
4512016-12-26   2017-03-17   87
4522016-12-26   NULL         87
4532016-12-26   NULL         87
4542016-12-26   2017-02-01   87
4552016-12-26   2017-02-21   87
4562016-12-26   2017-03-22   87
4572016-12-26   2017-03-09   87
4582016-12-26   2017-03-21   87
4592016-12-26   2017-02-28   30
4602016-12-26   NULL         30
4612016-12-26   NULL         30
4622016-12-26   2017-03-17   30
4632016-12-26   2017-03-10   30
4642016-12-26   NULL         30
4652016-12-26   NULL         30
4662016-12-26   NULL         30
4672016-12-26   NULL         30
4682016-12-27   2017-02-25   87
4692016-12-27   2017-03-10   87
4702016-12-27   2017-03-06   87
4712016-12-27   2017-01-29   87
4722016-12-27   2017-03-04   87
4732016-12-27   2017-01-27   87
4742016-12-27   2017-03-14   87
4752016-12-27   2017-03-08   87
4762016-12-27   2017-03-14   30
4772016-12-27   2017-01-29   30
4782016-12-27   NULL         30
4792016-12-27   NULL         30
4802016-12-27   2017-03-30   30
4812016-12-27   NULL         30
4822016-12-27   NULL         30
4832016-12-27   NULL         30
4842016-12-27   NULL         30
4852016-12-27   NULL         30
4862016-12-27   2017-03-07   30
4872016-12-28   NULL         87
4882016-12-28   2017-03-24   87
4892016-12-28   2017-03-12   87
4902016-12-28   NULL         87
4912016-12-28   2017-02-26   87
4922016-12-28   2017-03-09   87
4932016-12-28   2017-03-25   87
4942016-12-28   2017-02-07   87
4952016-12-28   NULL         30
4962016-12-28   NULL         30
4972016-12-28   NULL         30
4982016-12-28   2017-02-12   30
4992016-12-28   NULL         30
5002016-12-28   NULL         30
5012016-12-28   NULL         30
5022016-12-28   2017-03-29   30
5032016-12-29   2017-02-09   87
5042016-12-29   2017-02-07   87
5052016-12-29   2017-03-18   87
5062016-12-29   2017-02-24   87
5072016-12-29   NULL         87
5082016-12-29   2017-03-27   87
5092016-12-29   NULL         87
5102016-12-29   2017-03-29   87
5112016-12-29   2017-02-27   87
5122016-12-29   2017-02-14   87
5132016-12-29   2017-02-24   30
5142016-12-29   NULL         30
5152016-12-29   NULL         30
5162016-12-29   NULL         30
5172016-12-29   NULL         30
5182016-12-29   NULL         30
5192016-12-29   2017-02-10   30
5202016-12-29   NULL         30
5212016-12-29   NULL         30
5222016-12-29   2017-01-29   30
5232016-12-29   NULL         30
5242016-12-30   2017-03-28   87
5252016-12-30   2017-02-23   87
5262016-12-30   2017-02-06   87
5272016-12-30   2017-03-12   87
5282016-12-30   2017-02-04   87
5292016-12-30   2017-03-10   87
5302016-12-30   2017-03-06   87
5312016-12-30   NULL         30
5322016-12-30   NULL         30
5332016-12-30   NULL         30
5342016-12-30   NULL         30
5352016-12-30   NULL         30
5362016-12-30   NULL         30
5372016-12-30   NULL         30
5382016-12-30   NULL         30
5392016-12-30   NULL         30
5402016-12-30   NULL         30
5412016-12-30   2017-03-03   30
5422016-12-30   2017-01-30   30
5432016-12-31   2017-03-13   87
5442016-12-31   2017-03-19   87
5452016-12-31   2017-03-12   87
5462016-12-31   2017-03-17   87
5472016-12-31   NULL         87
5482016-12-31   2017-02-01   87
5492016-12-31   2017-02-04   87
5502016-12-31   2017-02-10   87
5512016-12-31   NULL         87
5522016-12-31   2017-02-02   87
5532016-12-31   NULL         30
5542016-12-31   NULL         30
5552016-12-31   2017-03-05   30
5562016-12-31   NULL         30
5572016-12-31   NULL         30
5582016-12-31   NULL         30
5592016-12-31   NULL         30
5602016-12-31   NULL         30
5612016-12-31   NULL         30
5622016-12-31   NULL         30
5632016-12-31   2017-03-02   30
5642016-12-31   2017-02-23   30
5652016-12-31   NULL         30
5662016-12-31   NULL         30
5672016-12-31   2017-02-13   30
5682016-12-31   NULL         30
5692016-12-31   NULL         30
5702016-12-31   NULL         30
5712017-01-01   2017-03-24   87
5722017-01-01   2017-03-18   87
5732017-01-01   2017-03-02   87
5742017-01-01   2017-02-18   87
5752017-01-01   2017-02-14   87
5762017-01-01   2017-03-28   87
5772017-01-01   2017-03-13   30
5782017-01-01   NULL         30
5792017-01-01   NULL         30
5802017-01-01   NULL         30
5812017-01-01   2017-03-13   30
5822017-01-01   NULL         30
5832017-01-02   2017-03-17   87
5842017-01-02   2017-02-04   87
5852017-01-02   2017-02-16   87
5862017-01-02   2017-03-06   87
5872017-01-02   NULL         87
5882017-01-02   NULL         30
5892017-01-02   NULL         30
5902017-01-02   NULL         30
5912017-01-02   NULL         30
5922017-01-02   NULL         30
5932017-01-02   NULL         30
5942017-01-02   NULL         30
5952017-01-02   NULL         30
5962017-01-02   NULL         30
5972017-01-02   2017-03-29   30
5982017-01-03   2017-02-21   87
5992017-01-03   2017-02-20   87
6002017-01-03   2017-03-19   87
6012017-01-03   2017-03-14   87
6022017-01-03   2017-02-18   87
6032017-01-03   NULL         87
6042017-01-03   2017-02-28   87
6052017-01-03   2017-02-20   30
6062017-01-03   NULL         30
6072017-01-03   2017-03-07   30
6082017-01-03   NULL         30
6092017-01-03   NULL         30
6102017-01-03   NULL         30
6112017-01-03   NULL         30
6122017-01-03   2017-02-24   30
6132017-01-03   NULL         30
6142017-01-03   NULL         30
6152017-01-04   2017-03-12   87
6162017-01-04   2017-03-27   87
6172017-01-04   2017-02-27   87
6182017-01-04   2017-03-22   87
6192017-01-04   NULL         87
6202017-01-04   2017-02-12   87
6212017-01-04   2017-02-15   87
6222017-01-04   2017-02-12   87
6232017-01-04   NULL         87
6242017-01-04   2017-02-09   87
6252017-01-04   2017-03-20   87
6262017-01-04   2017-02-12   30
6272017-01-04   NULL         30
6282017-01-04   2017-03-08   30
6292017-01-04   NULL         30
6302017-01-04   NULL         30
6312017-01-04   NULL         30
6322017-01-04   2017-03-15   30
6332017-01-04   NULL         30
6342017-01-04   NULL         30
6352017-01-04   NULL         30
6362017-01-04   NULL         30
6372017-01-04   NULL         30
6382017-01-05   2017-02-10   87
6392017-01-05   2017-03-05   87
6402017-01-05   2017-02-23   87
6412017-01-05   NULL         87
6422017-01-05   2017-02-20   87
6432017-01-05   2017-03-30   87
6442017-01-05   NULL         30
6452017-01-05   NULL         30
6462017-01-05   NULL         30
6472017-01-06   2017-03-31   87
6482017-01-06   2017-02-10   87
6492017-01-06   2017-03-04   87
6502017-01-06   2017-03-01   87
6512017-01-06   2017-03-18   87
6522017-01-06   2017-03-09   87
6532017-01-06   2017-02-16   87
6542017-01-06   2017-02-25   87
6552017-01-06   2017-03-16   87
6562017-01-06   2017-03-04   87
6572017-01-06   NULL         30
6582017-01-06   NULL         30
6592017-01-06   2017-03-30   30
6602017-01-06   NULL         30
6612017-01-06   NULL         30
6622017-01-06   2017-03-16   30
6632017-01-06   NULL         30
6642017-01-06   NULL         30
6652017-01-07   NULL         87
6662017-01-07   2017-03-14   87
6672017-01-07   NULL         87
6682017-01-07   2017-03-03   87
6692017-01-07   NULL         87
6702017-01-07   2017-03-18   87
6712017-01-07   NULL         30
6722017-01-07   NULL         30
6732017-01-07   NULL         30
6742017-01-08   2017-03-11   87
6752017-01-08   NULL         87
6762017-01-08   2017-03-10   87
6772017-01-08   2017-03-24   87
6782017-01-08   NULL         87
6792017-01-08   2017-03-21   87
6802017-01-08   NULL         87
6812017-01-08   2017-03-08   87
6822017-01-08   NULL         87
6832017-01-08   NULL         87
6842017-01-08   NULL         30
6852017-01-08   NULL         30
6862017-01-08   2017-02-12   30
6872017-01-08   2017-03-02   30
6882017-01-08   2017-03-31   30
6892017-01-08   NULL         30
6902017-01-09   2017-02-28   87
6912017-01-09   2017-03-21   87
6922017-01-09   NULL         87
6932017-01-09   2017-03-05   87
6942017-01-09   NULL         87
6952017-01-09   2017-02-20   87
6962017-01-09   2017-02-17   87
6972017-01-09   NULL         30
6982017-01-09   NULL         30
6992017-01-09   NULL         30
7002017-01-09   NULL         30
7012017-01-09   NULL         30
7022017-01-10   2017-03-03   87
7032017-01-10   2017-03-28   87
7042017-01-10   2017-02-23   87
7052017-01-10   2017-03-04   87
7062017-01-10   2017-03-06   87
7072017-01-10   2017-03-01   87
7082017-01-10   2017-02-22   87
7092017-01-10   2017-02-19   87
7102017-01-10   2017-03-07   87
7112017-01-10   NULL         30
7122017-01-10   NULL         30
7132017-01-10   NULL         30
7142017-01-10   NULL         30
7152017-01-10   NULL         30
7162017-01-10   NULL         30
7172017-01-10   NULL         30
7182017-01-10   2017-03-06   30
7192017-01-11   2017-03-09   87
7202017-01-11   NULL         87
7212017-01-11   2017-03-11   87
7222017-01-11   NULL         87
7232017-01-11   2017-03-03   87
7242017-01-11   NULL         30
7252017-01-11   NULL         30
7262017-01-11   NULL         30
7272017-01-11   NULL         30
7282017-01-11   NULL         30
7292017-01-11   NULL         30
7302017-01-11   NULL         30
7312017-01-12   2017-03-04   87
7322017-01-12   NULL         87
7332017-01-12   2017-02-24   87
7342017-01-12   2017-03-11   87
7352017-01-12   NULL         87
7362017-01-12   NULL         87
7372017-01-12   NULL         87
7382017-01-12   NULL         87
7392017-01-12   2017-02-26   87
7402017-01-12   2017-02-21   87
7412017-01-12   2017-03-11   87
7422017-01-12   NULL         30
7432017-01-12   NULL         30
7442017-01-12   NULL         30
7452017-01-12   2017-03-22   30
7462017-01-12   NULL         30
7472017-01-12   NULL         30
7482017-01-12   NULL         30
7492017-01-12   NULL         30
7502017-01-12   NULL         30
7512017-01-12   2017-03-27   30
7522017-01-12   NULL         30
7532017-01-12   2017-03-04   30
7542017-01-12   NULL         30
7552017-01-12   NULL         30
7562017-01-12   NULL         30
7572017-01-13   2017-03-09   87
7582017-01-13   2017-02-17   87
7592017-01-13   2017-02-18   87
7602017-01-13   NULL         87
7612017-01-13   2017-03-28   87
7622017-01-13   2017-03-27   87
7632017-01-13   NULL         87
7642017-01-13   2017-02-24   87
7652017-01-13   2017-03-26   87
7662017-01-13   2017-02-17   87
7672017-01-13   2017-03-18   87
7682017-01-13   NULL         87
7692017-01-13   NULL         87
7702017-01-13   NULL         30
7712017-01-13   NULL         30

7722017-01-13   NULL         30
7732017-01-13   NULL         30
7742017-01-13   NULL         30
7752017-01-13   NULL         30
7762017-01-13   2017-03-26   30
7772017-01-13   NULL         30
7782017-01-13   NULL         30
7792017-01-13   NULL         30
7802017-01-13   NULL         30
7812017-01-13   NULL         30
7822017-01-14   NULL         87
7832017-01-14   2017-02-14   87
7842017-01-14   2017-03-16   87
7852017-01-14   NULL         87
7862017-01-14   2017-03-15   87
7872017-01-14   2017-03-09   87
7882017-01-14   2017-02-18   87
7892017-01-14   NULL         87
7902017-01-14   2017-02-26   87
7912017-01-14   NULL         87
7922017-01-14   NULL         87
7932017-01-14   NULL         30
7942017-01-14   2017-02-27   30
7952017-01-14   NULL         30
7962017-01-14   NULL         30
7972017-01-14   NULL         30
7982017-01-15   2017-03-30   87
7992017-01-15   2017-03-12   87
8002017-01-15   2017-03-23   87
8012017-01-15   2017-02-18   87
8022017-01-15   2017-03-10   87
8032017-01-15   2017-03-14   87
8042017-01-15   NULL         87
8052017-01-15   NULL         87
8062017-01-15   NULL         30
8072017-01-15   NULL         30
8082017-01-15   NULL         30
8092017-01-15   NULL         30
8102017-01-15   NULL         30
8112017-01-15   NULL         30
8122017-01-15   NULL         30
8132017-01-15   NULL         30
8142017-01-15   2017-03-17   30
8152017-01-15   NULL         30
8162017-01-16   2017-02-24   87
8172017-01-16   NULL         87
8182017-01-16   2017-02-23   87
8192017-01-16   2017-03-24   87
8202017-01-16   2017-02-16   87
8212017-01-16   2017-02-25   87
8222017-01-16   NULL         87
8232017-01-16   2017-03-01   87
8242017-01-16   2017-03-15   87
8252017-01-16   2017-02-20   87
8262017-01-16   NULL         30
8272017-01-16   NULL         30
8282017-01-16   NULL         30
8292017-01-16   NULL         30
8302017-01-16   NULL         30
8312017-01-16   NULL         30
8322017-01-16   NULL         30
8332017-01-16   NULL         30
8342017-01-16   NULL         30
8352017-01-16   NULL         30
8362017-01-16   NULL         30
8372017-01-17   2017-02-21   87
8382017-01-17   2017-03-02   87
8392017-01-17   2017-03-31   87
8402017-01-17   2017-02-19   87
8412017-01-17   2017-03-01   87

8422017-01-17   2017-03-10   87
8432017-01-17   NULL         87
8442017-01-17   2017-03-27   87
8452017-01-17   2017-03-15   87
8462017-01-17   NULL         30
8472017-01-17   NULL         30
8482017-01-17   NULL         30
8492017-01-17   NULL         30
8502017-01-17   NULL         30
8512017-01-17   NULL         30
8522017-01-17   NULL         30
8532017-01-17   2017-02-17   30
8542017-01-17   NULL         30
8552017-01-18   NULL         87
8562017-01-18   NULL         87
8572017-01-18   NULL         87
8582017-01-18   NULL         87
8592017-01-18   NULL         30
8602017-01-18   NULL         30
8612017-01-18   2017-03-15   30
8622017-01-18   NULL         30
8632017-01-18   NULL         30
8642017-01-18   NULL         30
8652017-01-18   NULL         30
8662017-01-18   NULL         30
8672017-01-19   NULL         87
8682017-01-19   NULL         87
8692017-01-19   2017-03-23   87
8702017-01-19   NULL         87
8712017-01-19   2017-03-04   87
8722017-01-19   2017-02-28   87
8732017-01-19   NULL         87
8742017-01-19   NULL         30
8752017-01-19   2017-03-14   30
8762017-01-19   NULL         30
8772017-01-19   2017-03-10   30
8782017-01-19   NULL         30
8792017-01-20   NULL         87
8802017-01-20   2017-03-19   87
8812017-01-20   2017-03-22   87
8822017-01-20   NULL         87
8832017-01-20   2017-03-01   87
8842017-01-20   NULL         87
8852017-01-20   NULL         87
8862017-01-20   NULL         87
8872017-01-20   NULL         30
8882017-01-20   NULL         30
8892017-01-20   NULL         30
8902017-01-20   NULL         30
